0️⃣	клавіша: 0	0|клавіша|нуль
🕝	пів на третю	2|2:30|30|годинник|два|пів на третю|тридцять
🕞	пів на четверту	3|3:30|30|годинник|пів на четверту|три|тридцять
🕟	пів на п’яту	30|4|4:30|годинник|пів на п’яту|тридцять|чотири
🕠	пів на шосту	30|5|5:30|годинник|п’ять|пів на шосту|тридцять
🕡	пів на сьому	30|6|6:30|годинник|пів на сьому|тридцять|шість
🕢	пів на восьму	30|7|7:30|годинник|пів на восьму|сім|тридцять
🕣	пів на дев’яту	30|8|8:30|вісім|годинник|пів на дев’яту|тридцять
🕤	пів на десяту	30|9|9:30|годинник|дев’ять|пів на десяту|тридцять
🕥	пів на одинадцяту	10|10:30|30|годинник|десять|пів на одинадцяту|тридцять
🕦	пів на дванадцяту	11|11:30|30|годинник|одинадцять|пів на дванадцяту|тридцять
🕧	пів на першу	12|12:30|30|годинник|дванадцять|пів на першу|тридцять
🕯️	свічка	світло|свічка
🕰️	камінний годинник	годинник|годинник для камінної полички|камінний годинник|час
🕳️	лунка	діра|лунка
🕴️	чоловік у діловому костюмі, що левітує	бізнес|костюм|чоловік|чоловік у діловому костюмі|чоловік у діловому костюмі, що левітує|чоловік у костюмі|що левітує
🕵️	детектив	детектив|робота|розслідування|сищик|шпигун
🕵️‍♀️	жінка-детектив	детектив|докази|жінка|жінка-детектив|жінка-сищик|людина|робота|розслідування|шпигун|шпигунка
🕵️‍♂️	чоловік-детектив	детектив|сищик|чоловік|чоловік-детектив|шпигун|шпик
🕶️	сонцезахисні окуляри	око|окуляри|сонцезахисні окуляри|темний
🕷️	павук	комаха|павук
🕸️	павутиння	павук|павутина|павутиння
🕹️	джойстик	відеогра|гра|джойстик
🕺	чоловік, що танцює	співак|танці|чоловік|чоловік танцює|чоловік, що танцює|шоумен|що танцює
🖇️	зчеплені скріпки	зчеплений|зчеплені скріпки|скріпка
🖊️	кулькова ручка	кулькова|маркер|ручка
🖋️	чорнильна ручка	ручка|чорнила|чорнильна
🖌️	пензель	малювання|пензель
🖍️	пастель	крайон|крейда|олівець|пастель|фломастер|червона крейда|червоний олівець
🖐️	піднята рука з розведеними пальцями	долоня|палець|пальці|піднята рука з розведеними пальцями|розчепірений|рука|тіло
🖕	середній палець	палець|рука|середній палець
🖖	вулканське вітання	вулкан|вулканське вітання|жест|зоряний шлях|палець|пальці|рука|спок|тіло
🖤	чорне серце	заздрість|зло|серце|чорне
🖥️	комп’ютер	комп’ютер|монітор|настільний
🖨️	принтер	комп’ютер|принтер
🖱️	комп’ютерна миша	комп’ютер|комп’ютерна миша|миша
🖲️	трекбол	комп’ютер|трекбол
🖼️	картина в рамці	картина|картина в рамці|мистецтво|музей|рама|рама з картиною
🗂️	роздільники в картотеці	картка|картотека|нумерація|роздільник|розділювач
🗃️	скринька для карток	коробка|коробка з файлами|скринька для карток|файли
🗄️	шафа для документів	реєстратор|сейф|шафа|шафа для документів|шафа-реєстратор
🗑️	сміттєвий кошик	кошик|смітник|сміття
🗒️	блокнот на спіралі	блокнот|блокнот на спіралі|на спіралі
🗓️	календар на спіралі	блокнот|зайнята|зайнятий|зустріч|календар|календар на спіралі|на спіралі|планування
🗜️	затискач	затискач|знаряддя|кліщі
🗝️	старовинний ключ	замок|ключ|підказка|старий|старовинний ключ
🗞️	скручена газета	газета|згорнута|новини|папір|скручена газета
🗡️	кинджал	зброя|кинджал|меч|ніж
🗣️	голова, що говорить	віщати|говорити|обличчя|оголошення|оголошувати|силует
🗨️	хмаринка з текстом зліва	діалог|розмова|хмаринка з текстом зліва
🗯️	булька із сердитою реплікою	злий|розлючений|хмаринка
🗳️	урна для голосування і бюлетень	бюлетень|вибори|голосування|урна
🗺️	карта світу	карта|карта світу|світ
🗻	гора Фудзі	гора|Фудзи|фудзі
🗼	Токійська вежа	вежа|токійська вежа|Токійська вежа|Токіо
🗽	Статуя Свободи	свобода|статуя|статуя свободи|Статуя Свободи|США
🗾	карта Японії	карта|карта японії|карта Японії|мапа Японії|острів|японія|Японія
🗿	статуя з Острова Пасхи	лице|моай|статуя|статуя з Острова Пасхи
😀	широко всміхнене обличчя	вищир|обличчя|посмішка|радість|сміх|усміхнений|усмішка|широкий
😁	осяйно всміхнене обличчя й очі	зуби|обличчя|осяйно|очі|посмішка|радісний|світиться|усмішка|широко|шкіриться|щасливий
😂	обличчя в сльозах радості	веселий|до сліз|кумедний|лол|обличчя|радість|регіт|розсмішити|сльози|сміх|хаха
😃	широко всміхнене обличчя з очищами	великий|вищир|відкритий|обличчя|очища|очі|посмішка|радість|рот|сміх|усміхнений|усмішка|широкий
😄	широко всміхнене обличчя з примруженими очима	великий|вищир|відкритий|обличчя|очища|очі|посмішка|примружений|радість|рот|сміх|усміхнений|усмішка|широкий
😅	широко всміхнене обличчя з потом	відкритий|задоволений|обличчя|піт|посмішка|радість|реготати|рот|сміх|смішно|усміхнений|усмішка|хаха|холодний|широкий|щасливий
😆	обличчя із широкою посмішкою й замруженими очима	великий|відкритий|задоволений|обличчя|очі|посмішка|примружений|радість|реготати|рот|сміх|смішно|усміхнений|усмішка|хаха|широкий|щасливий
😇	усміхнене обличчя з німбом	ангел|безневинність|казка|німб|обличчя|посмішка|усмішка|фантазія|янгол
😈	усміхнене обличчя з рогами	демон|диявол|диявольська посмішка|з рогами|зла посмішка|казка|монстр|обличчя|посмішка|ріжки|фантазія|фіолетовий
😉	обличчя, що підморгує	дражнити|жарт|залицятися|обличчя|підморгувати|флірт
😊	усміхнене обличчя й очі	задоволення|ніяково|обличчя|очі|посмішка|рум’янець|соромливий|усмішка
😋	усміхнене обличчя, що облизує губи	голод|їжа|ммм|обличчя|посмішка|смак|смачно|страва|усмішка
😌	заспокоєне обличчя	дзен|задоволення|обличчя|полегшення|спокій
😍	усміхнене обличчя з очима-серцями	з задоволенням|з радістю|закоханий|зворушений|кохання|любов|обличчя|очі|посмішка|серце|хочу
😎	усміхнене обличчя в темних окулярах	бро|крутий|круто|окуляри|посмішка|сонце|сонцезахисні|темні|усмішка|чувак|яскраво
😏	самовдоволене обличчя	бос|люблю|не дуже|обличчя|посмішка|самовдоволення|себе|сумніваюсь|так собі|усмішка|ух-ти|ухти|цікаво
😐	обличчя з нейтральним виразом	без емоцій|все одно|заздрість|не згоден|не скажу|невражений|незадоволення|незворушний|нейтральний|нехай|ні|обличчя
😑	обличчя без емоцій	без емоцій|все одно|заздрісний|невиразний|невражений|нехай|ну й добре|обличчя
😒	невдоволене обличчя	все одно|заздрість|невдоволене|незадоволений|нещасливий|нудно|обличчя|розчарований|фу
😓	понурене обличчя в поту	болить|голова|знервований|краплі|наляканий|нерви|обличчя|піт|понурений|розчарований|сум|холодний
😔	замислене обличчя	задумливий|замислене обличчя|занепокоєння|засмучений|обличчя|роздуми|розчарований
😕	спантеличене обличчя	аякже|гм|не задоволений|не знаю|невдоволений|ні|обличчя|спантеличений|сумний
😖	збентежене обличчя	гнів|збентежений|злий|крінж|обличчя|розлючений|розчарований|сердитий|сумний
😗	обличчя, що цілує	кохання|обличчя|побачення|поцілунок|флірт|цілувати|цілує|цьом
😘	обличчя, що надсилає цілунок	обличчя|повітряний|поцілунок|серце|цілунок|цілую|цьом
😙	обличчя з примруженими очима, що цілує	143|заплющений|знайомства|кохання|ніч|обличчя|око|очі|побачення|поцілунки|поцілунок|усміхатися|усмішка|флірт|цілуватися
😚	обличчя із заплющеними очима, що цілує	закриті|заплющені|обличчя|око|очі|побачення|поцілунок|флірт|цілує
😛	обличчя з висунутим язиком	висолопити|висунутий|добре|обличчя|показати|радість|язик
😜	обличчя, що підморгує і показує язика	жарт|лол|обличчя|очі|підморгувати|підморгую|показати|посмішка|усмішка|хаха|язик
😝	обличчя з висунутим язиком і заплющеними очима	висунутий|гидота|жахливий|заплющені|обличчя|очі|смак|сміх|тьфу|фу|язик
😞	розчароване обличчя	винуватий|засмучений|невдача|нещасний|обличчя|провина|програш|розчарований|сумний
😟	стурбоване обличчя	занепокоєння|здивований|нерви|обличчя|стрес|стурбований|сумний|тривожність|турбуватися
😠	сердите обличчя	злий|обличчя|сердите обличчя|сердитий
😡	обличчя, що дується	гнів|дується|злий|насуплений|невдоволений|нещасний|обличчя|сердитий|червоний
😢	обличчя, що плаче	нещасний|обличчя|плач|плаче|сльоза|сумний|сумую
😣	невідступне обличчя	завзяте|зосередження|концентрація|невдоволений|невідступне|обличчя|розчарований|увага|упертість
😤	обличчя, що сердито видихає	гнів|злість|лють|обличчя|пара з носа|розгніваний|роздратований|розлючений|сердитий|тріумф|шалений
😥	cумне, але втішене обличчя	cумне|все складно|втішене|заспокоєне|обличчя|плакати|полегшення|розчароване|розчарування|сльози|фух
😦	похмуре обличчя з відкритим ротом	вау|відкритий|здивований|зненацька|наляканий|нахмурений|нічого собі|обличчя|рот|страх
😧	стражденне обличчя	забув|здивований|не може бути|незадоволений|обличчя|переляк|спантеличений|страждання|стрес
😨	налякане обличчя	боюся|боязкий|наляканий|обличчя|переляк|страх
😩	замучене обличчя	втомлене|замучене|зморений|нещасний|ні|обличчя|позіхати|розчарований|розчарування|спати|стомлений|сумний
😪	заспане обличчя	втомлениий|засмучений|заспане обличчя|обличчя|сон
😫	стомлене обличчя	обличчя|розчарована|розчарований|розчарування|стомлене обличчя|стомлений
😬	обличчя з гримасою	гримаса|дантист|дивно|зуби|капець|кривляння|крінж|посмішка|скривлене|стоматолог|усмішка
😭	обличчя, що гучно ридає	гірке|гучно|котяться|нещасний|обличчя|плач|потік|ридання|сльози|сумний
😮	обличчя з відкритим ротом	вау|відкритий|забув|здивування|не може бути|обличчя|ого|отакої|рот|співчуття|шок
😮‍💨	обличчя, що видихає	вдих|видих|виснажений|втомлений|обличчя|полегшення|свист|смайл|стогін|туман|шепотіння
😯	здивоване і збентежене обличчя з бровами	брови|вражений|збентежене|здивоване|нічого собі|обличчя|отакої|приголомшений
😰	занепокоєне обличчя з потом	відкритий|знервований|нерви|обличчя|піт|розчарований|рот|синій|спітніти|холодний|холодно
😱	обличчя, що кричить із переляку	вражений|епічний|зойк|крик|крикун|наляканий|обличчя|переляк|страх|шокований|що кричить
😲	вражене обличчя	абсолютно|вражене|здивоване|здивований|не може бути|ні|обличчя|отакої|подив|шок
😳	зашаріле обличчя	вау|зашаріле|здивований|не може бути|незручний|ніяково|обличчя|присоромлений|рум’янець|сором|та годі
😴	обличчя, що спить	втома|добраніч|заснув|ніч|обличчя|сон|сонний|спати|спить|стомлений
😵	запаморочене обличчя	запаморочене обличчя|запаморочений|обличчя
😵‍💫	очі-спіралі	гіпноз|заносить|запаморочення|нічого собі|ого|ох|очі-спіралі|погано|проблема|смайл|у шоці|шок
😶	обличчя без рота	без рота|беззвучно|мовчи|немає слів|обличчя|рот|секрет|тихо
😶‍🌫️	обличчя в хмарах	голова|дим|неуважний|обличчя|смог|туман|хмари
😷	обличчя в медичній масці	вірус|застуда|інфекція|лікар|маска|медицина|обличчя в медичній масці|хворий|холодний
😸	широко всміхнений кіт з усміхом в очах	вишкір|кіт|морда|око|усміхнений кіт|усмішка|широко всміхнений кіт з усміхом в очах
😹	кіт зі сльозами радості	кіт|кіт зі сльозами радості|кіт сміється|морда|радість|сльози|смішно
😺	широко всміхнений кіт	весело|відкритий|кіт|кішка|морда|паща|посмішка|сміється|усміхнений|усмішка|широко
😻	усміхнений кіт з очима як серця	кіт|кохання|морда|око|посмішка|серце|усміхнений кіт з очима як серця|усмішка|щасливий|щастя
😼	кіт із кривою посмішкою	глузлива|іронічний|кіт|кіт із кривою посмішкою|котяча|морда|посмішка|скривлена|сумніви
😽	кіт, що цілує	заплющений|кіт|морда|око|очі|поцілунок|тварина|що цілує
😾	сердитий кіт	кіт|котяча|морда|насуплений|сердита|сердитий кіт
😿	кіт, що плаче	зарюмана|кіт|кіт, що плаче|котяча|морда|плач|сльоза|сумна|сумний|що плаче
🙀	шокований кіт	здивування|зненацька|кіт|котяча|морда|не може бути|ой|сюрприз|шок|шокований кіт
🙁	трохи похмуре обличчя	нахмурений|обличчя|сумний|трохи похмуре обличчя
🙂	трохи всміхнене обличчя	всміхнений|задоволений|обличчя|посмішка|сміх|усміхнений|усмішка
🙂‍↔️	заперечливе хитання головою	відмова|заперечення|нєа|ні|нізащо|хитав|хитала|хитати
🙂‍↕️	кивання головою	кивання головою|ствердження
🙃	обличчя догори дриґом	догори дном|догори дриґом|догори ногами|обличчя|хаха|хехе
🙄	обличчя із закоченими очима	байдуже|закочувати|о боже|обличчя|отакої|оце так|очі
🙅	людина, що жестом показує «ні»	жест|заборонено|людина|людина, що жестом показує «ні»|немає шансів|ні|ніколи|рука|що жестом показує «ні»
🙅‍♀️	жінка, що жестом показує «ні»	жінка|жінка, що жестом показує «ні»|заборона|проти|що жестом показує «ні»
🙅‍♂️	чоловік, що жестом показує «ні»	заборона|ні|проти|чоловік|чоловік, що жестом показує «ні»|що жестом показує «ні»
🙆	людина, що жестом показує «окей»	вправа|жест|людина|людина показує окей|людина, що жестом показує «окей»|окей|рука|ховатися|що жестом показує «окей»
🙆‍♀️	жінка, що жестом показує «окей»	добре|жінка|жінка, що жестом показує «окей»|згода|ок|що жестом показує «окей»
🙆‍♂️	чоловік, що жестом показує «окей»	добре|домовились|згода|ок|чоловік|чоловік погоджується|чоловік, що жестом показує «окей»|що жестом показує «окей»
🙇	людина, що вклоняється	благати|вибач|жалкувати|жест|поклон|розкаяння|співчувати|уклін|шкода
🙇‍♀️	жінка, що вклоняється	вибачення|жінка|жінка кланяється|жінка, що вклоняється|повага|покора|що вклоняється
🙇‍♂️	чоловік, що вклоняється	вибачення|повага|покора|чоловік|чоловік, що вклоняється|що вклоняється
🙈	мавпа, що не бачить	бачити|заборонено|зло|мавпа|мавпа, що не бачить|не бачу|не бачу зла|обличчя|що не бачить|що не бачить зла
🙉	мавпа, що не чує	заборонено|зло|мавпа|мавпа, що не чує|не чую|не чую зла|обличчя|чути|що не чує|що не чує зла
🙊	мавпа, що не говорить	говорити|заборонено|зло|мавпа|мовчу|не говорю лихого|не скажу|обличчя|ой|секрет|що не висловлює зла|що не говорить
🙋	людина з піднятою рукою	виберіть|вітання|жест|запитання|мене|можу|оберіть|тут|щасливий
🙋‍♀️	жінка з піднятою рукою	жінка|жінка з піднятою рукою|піднята рука|рука
🙋‍♂️	чоловік із піднятою рукою	піднята рука|рука|чоловік|чоловік із піднятою рукою
🙌	руки, підняті для святкування	жест|піднята|підняті для святкування|підняті руки|рука|руки|руки, підняті для святкування|святкування|ура
🙍	похмура людина	жест|засмучений|насуплені брови|нахмурений|невдоволений|невеселий|похмура людина|роздратування|смуток
🙍‍♀️	похмура жінка	жінка|засмучена|похмура жінка|розчарування
🙍‍♂️	похмурий чоловік	засмучений|насуплений чоловік|похмурий чоловік|розчарування|чоловік
🙎	людина, що дується	гримаса|жест|засмучений|злий|насуплений|невеселий|похмурий|розчарований|стурбований|сумно
🙎‍♀️	жінка, що дується	жінка|жінка, що дується|злість|сердиться|що дується
🙎‍♂️	чоловік, що дується	злість|сердитий чоловік|сердиться|чоловік|чоловік, що дується|що дується
🙏	руки, стиснуті разом	благання|будь ласка|дякую|молитва|просити|прошу|рука|уклін
🚀	ракета	запуск ракети|космос|подорож|ракета|транспорт
🚁	гелікоптер	вертоліт|гелікоптер|транспорт
🚂	паровий локомотив	двигун|залізниця|паровий|паровий локомотив|паровоз|потяг|транспорт
🚃	вагон	вагон|електричний|залізниця|трамвай|транспорт|тролейбус
🚄	швидкісний потяг	залізниця|інтерсіті|потяг|транспорт|швидкісний
🚅	швидкісний потяг з округлим носом	залізниця|інтерсіті|кулеподібний|потяг|транспорт|швидкісний|швидкісний потяг з округлим носом
🚆	потяг	електропотяг|залізниця|потяг|транспорт
🚇	метро	метро|транспорт
🚈	швидкісний трамвай	електропоїзд|залізниця|поїзд|транспорт|швидкісний трамвай
🚉	станція	cтанція|залізниця|зупинка|потяг|станція|транспорт
🚊	трамвай	метро|потяг|трамвай|транспорт|тролейбус
🚋	вагон трамвая	вагон|вагон трамвая|трамвай|транспорт|тролейбус
🚌	автобус	автобус|транспорт
🚍	автобус, що наближається	автобус|машини|що наближається|що наближаються
🚎	тролейбус	автобус|громадський транспорт|трамвай|транспорт|тролейбус
🚏	автобусна зупинка	автобус|автобусна зупинка|зупинка
🚐	мікроавтобус	автобус|маршрутка|мікроавтобус|транспорт
🚑	автомобіль швидкої допомоги	автомобіль швидкої допомоги|транспорт|швидка допомога
🚒	пожежна машина	вантажівка|двигун|пожежна машина|пожежний|пожежний автомобіль
🚓	поліцейська машина	автомобіль|міліція|патруль|патрульний автомобіль|поліцейська машина|поліцейський автомобіль|поліція
🚔	поліцейська машина, що наближається	автомобіль|міліція|наближається|патруль|поліцейська машина|поліцейська машина, що наближається|поліцейський автомобіль|поліція|що наближається
🚕	таксі	таксі|транспорт
🚖	таксі, що наближається	жовте таксі|наближатися|таксі|таксі, що наближається|транспорт|що наближається
🚗	автомобіль	автівка|авто|автомобіль|машина|транспорт
🚘	автомобіль, що наближається	автомобіль|автомобіль, що наближається|машина|наближається|транспорт|червона машина|червоне авто|що наближається
🚙	позашляховик	автівка|житловий|машина|позашляховик|транспорт|трейлер|фургон
🚚	вантажівка для доставки	вантажівка|вантажівка для доставки|доставка|транспорт|фургон
🚛	вантажівка з причепом	вантажівка|вантажівка з причепом|транспорт|тягач|фургон
🚜	трактор	трактор|транспорт
🚝	монорейка	метро|монорейка|монорейкова залізниця|транспорт|швидкий потяг
🚞	залізниця в горах	вагон|гірська залізниця|гора|залізниця|залізниця в горах|поїзд|транспорт
🚟	підвісна монорейка	залізниця|канатна дорога|підвісна залізниця|підвісна монорейка|підвісний|транспорт
🚠	канатна дорога в горах	гондола|гора|кабель|канатна дорога|канатна дорога в горах|транспорт|фунікулер
🚡	канатна дорога	автомобіль|гондола|кабель|канатна дорога|підвісна дорога|підвісна канатна дорога|повітряний|транспорт
🚢	корабель	корабель|транспорт
🚣	людина, що веслує на човні	байдарка|весло|гребля|каное|людина|озеро|рафт|рибалка|річка|транспорт|човен
🚣‍♀️	жінка, що веслує на човні	весловий човен|жінка|жінка на веслах|жінка у весловому човні|жінка, що веслує на човні|човен|що веслує на човні
🚣‍♂️	чоловік, що веслує на човні	весловий човен|човен|чоловік|чоловік, що веслує на човні|що веслує на човні
🚤	швидкохідний катер	катер|транспорт|човен|швидкохідний катер
🚥	горизонтальний світлофор	горизонтальний світлофор|світлофор|транспорт
🚦	вертикальний світлофор	вертикальний світлофор|перехрестя|пішохідний перехід|світлофор|транспорт
🚧	знак ремонтних робіт	будівництво|знак ремонтних робіт|огорожа|паркан|прохід заборонено
🚨	проблисковий маячок	автомобіль|вогні поліцейського автомобіля|маяк|маяк патрульного автомобіля|мигати|обертатися|поліція|проблисковий маячок|сирена|швидка
🚩	трикутний прапор	гольф|прапорець|сигнал|трикутний|флагшток
🚪	двері	вхід|двері
🚫	заборонено	вʼїзд заборонено|заборонено|забороняється|не дозволено|не допускається|немає|ні
🚬	сигарета	куріння|паління|сигарета|цигарка
🚭	палити заборонено	заборонено|курити|не|палити|паління заборонено|символ «не палити»
🚮	знак кидати сміття в урну	знак кидати сміття в урну|памʼятка не смітити|смітник|сміття|урна
🚯	смітити заборонено	заборонено|знак «не смітити»|не|смітити|сміття
🚰	питна вода	вода|кран|питна|питний|придатна для пиття
🚱	непридатна для пиття вода	вода|заборонено|знак «непитна вода»|не|непитна вода|непридатна для пиття вода|непридатно|пити|пиття
🚲	велосипед	велосипед|кататися|транспорт
🚳	велосипеди заборонено	велосипед|велосипеди заборонено|заборонено|рух на велосипеді заборонено|транспортний засіб
🚴	людина, що їде на велосипеді	велосипед|велосипедист|їзда на велосипеді|кататися на велосипеді|людина|людина на велосипеді|людина, що їде на велосипеді|спортсмен|що їде на велосипеді
🚴‍♀️	велосипедистка	велик|велосипед|велосипедний спорт|жінка|ровер
🚴‍♂️	велосипедист	велик|велосипед|велосипедний спорт|ровер|чоловік
🚵	людина, що їде на гірському велосипеді	велосипед|велосипедист|гірський велосипед|гора|їзда на велосипеді|кататися на велосипеді|людина|людина, що їде на гірському велосипеді|спортсмен|що їде на гірському велосипеді
🚵‍♀️	гірська велосипедистка	велосипед|велосипедист|велосипедистка|гірська велосипедистка|гори|жінка|перегони|спорт
🚵‍♂️	гірський велосипедист	велосипед|велосипедист|гірський велосипедист|гори|чоловік
🚶	людина, що йде пішки	гуляти|іти|крок|людина|людина йде|людина, що йде пішки|пішки|пішохід|прогулянка|що йде пішки
🚶‍♀️	жінка, що йде пішки	гуляти|жінка|жінка гуляє|жінка, що йде пішки|йти|прогулянка|що йде пішки
🚶‍♂️	чоловік, що йде пішки	гуляти|йти|прогулянка|чоловік|чоловік, що йде пішки|що йде пішки
🚷	пішохідний рух заборонено	заборонено|пішохідний рух заборонено|прохід заборонено|рух заборонено|рух пішоходів заборонено
🚸	попереджувальний знак «Діти»	діти|діти на дорозі|на дорозі|перехід дороги для дітей|пішоходи|попереджувальний знак «Діти»|рух
🚹	чоловіча вбиральня	вбиральня|для чоловіків|клозет|туалет|туалетна кімната|чоловіча вбиральня|чоловічий туалет
🚺	жіноча вбиральня	вбиральня|для жінок|жіноча вбиральня|жіночий туалет|туалет|убиральня
🚻	громадський туалет	вбиральня|громадський туалет|клозет|туалет
🚼	символ немовляти	для немовлят|заміна пелюшок|немовля|пеленання|символ «немовля»|символ немовляти
🚽	унітаз	туалет|унітаз
🚾	символ убиральні [WC]	ванна|вбиральня|знак убиральні WC|кімната|символ убиральні [WC]|символ убиральні WC|туалетна кімната|убиральня
🚿	душ	вода|душ
🛀	людина, що приймає ванну	ванна|купатися|людина|людина, що приймає ванну|приймати ванну|що приймає ванну
🛁	ванна	ванна|ванна з піною|купатися|приймати ванну
🛂	паспортний контроль	контроль|митниця|паспортний
🛃	митниця	митний контроль|митниця
🛄	видача багажу	багаж|видача|видача багажу|отримання|пункт отримання багажу
🛅	камера схову	багаж|залишені речі|камера зберігання|камера схову|комірка для зберігання|поклажа
🛋️	канапа й торшер	готель|диван|канапа й торшер|лампа
🛌	людина в ліжку	відпочинок|готель|добраніч|ліжко|людина в ліжку|ніч|сон|спати|стомлений
🛍️	сумки для покупок	покупки|сумка|сумки для покупок|шопінг
🛎️	готельний дзвоник	готель|готельний дзвоник|дзвоник|сервіс
🛏️	ліжко	готель|ліжко|сон|спати
🛐	культова споруда	культова споруда|молитва|молитися|молитовний дім|поклоніння|релігія
🛑	восьмикутний червоний знак	восьмикутний червоний знак|восьмикутник|знак|знак “стоп”|стоп
🛒	магазинний візок	возик|магазин|магазинний візок|супермаркет|шопінг
🛕	індуїстський храм	індуїстський|храм
🛖	хижа	будинок|бунгало|дім|купольний будинок|оселя|прихисток|хата|хатина|хижа|юрта
🛗	ліфт	вантажність|доступність|люди|пасажири|підіймач|підйомник|спеціальні можливості
🛘	зсув	гора|землетрус|каменепад|каміння|катастрофа|лавина|небезпека
🛜	бездротовий	wifi|wlan|безпровідний|вайфай|зʼєднання|інтернет|маршрутизатор|мережа|смартфон|точка доступу|хотспот
🛝	дитяча гірка	гірка|гратися|дитяча гірка|зʼїжджати з гірки|ігровий майданчик|кататися|парк розваг
🛞	колесо	автомобіль|колесо|коло|машина|обертатися|транспорт|шина
🛟	рятівний круг	безпека|буйок|плавати|рятівне коло|рятівник|рятувальний засіб|рятувати життя|спасати|триматися на воді
🛠️	молоток і гайковий ключ	гайковий ключ|інструмент|інструменти|молоток|молоток і гайковий ключ
🛡️	щит	зброя|щит
🛢️	бочка для нафти	бочка|бочка для нафти|бочка з паливом|паливо
🛣️	автомагістраль	автомагістраль|дорога|шосе
🛤️	залізнична колія	залізниця|залізнична колія|поїзд|потяг
🛥️	моторний човен	корабель|моторний|транспорт|човен
🛩️	малий літак	летіти|літак|літачок|малий літак|транспорт
🛫	літак злітає	відправлення|відправлення літака|літак|літак злітає|подорож|політ|реєстрація|транспорт
🛬	літак сідає	літак|літак сідає|подорож|прибуття|прибуття літака|приземлення|транспорт
🛰️	супутник	космос|супутник|транспорт
🛳️	пасажирський корабель	вояж|корабель|круїз|пасажир|пасажирський корабель|транспорт
🛴	самокат	самокат
🛵	мопед	мопед|скутер
🛶	каное	каное|човен
🛷	сани	сани|санчата|сніг
🛸	летюча тарілка	летюча тарілка|НЛО|чужі
🛹	скейтборд	борд|дошка|коліщатка|ролики|скейт|скейтборд|скейтер
🛺	авторикша	авторикша|рикша|тук-тук
🛻	автомобіль-пікап	автомобіль|автомобіль-пікап|вантаж|вантажівка|легка вантажівка|пікап|транспорт
🛼	роликовий ковзан	катання|катання на роликах|ковзан|ковзани|коліщата|ролики|роликовий|спорт
🟠	оранжевий круг	круг|оранжевий
🟡	жовтий круг	жовтий|круг
🟢	зелений круг	зелений|круг
🟣	фіолетовий круг	круг|пурпуровий|фіолетовий
🟤	коричневий круг	коричневий|круг
🟥	червоний квадрат	квадрат|червоний
🟦	синій квадрат	блакитний|квадрат|синій
🟧	оранжевий квадрат	квадрат|оранжевий
🟨	жовтий квадрат	жовтий|квадрат
🟩	зелений квадрат	зелений|квадрат
🟪	фіолетовий квадрат	квадрат|фіолетовий
🟫	коричневий квадрат	квадрат|коричневий
🟰	знак точної рівності	відповідь|дорівнює|знак точної рівності|математика|результат|рівність|рівнозначний
🤌	зведені пальці	долоня|жест|запитання|лотос|мудра|просвітлення|розслаблення|рука|сарказм|спокій|терпіння
🤍	біле серце	біле|серце
🤎	коричневе серце	коричневе|серце
🤏	жест «мало»	дещиця|жест «мало»|мало|небагато|невелика кількість|пальці|рука|трохи|щіпка
🤐	обличчя із застібкою замість рота	блискавка|застібка|мовчати|мовчу|не казати|не скажу|обличчя|рот|рот на замок|як риба
🤑	обличчя з грішми замість очей та язика	вдавися|виграш|гроші|лотерея|обличчя|очі|рот
🤒	обличчя з термометром	обличчя|обличчя з термометром|термометр|хворий
🤓	обличчя всезнайка	ботан|гік|дойда|дока|зацікавленість|навчання|обличчя|обличчя всезнайка|обличчя заучки|унікум
🤔	обличчя в роздумах	дай подумаю|думати|задума|не знаю|обличчя|підборіддя|роздуми|треба подумати|у роздумах|хм
🤕	обличчя з головною повʼязкою	болить|голова|обличчя|пов’язка|поранений|рана|травма
🤖	робот	голова|монстр|обличчя|робот
