0️⃣	tecla: 0	0|cero|tecla
🖋️	estilográfica	bolígrafo|escribir|estilográfica|pluma|tinta
🖌️	pincel	pincel|pintar
🖍️	lápiz de cera	cera|lápiz|lápiz de cera
🖐️	mano abierta	abierta|dedo|mano
🖕	dedo corazón hacia arriba	corazón|dedo|dedo corazón hacia arriba|mano|peineta
🖖	saludo vulcano	mano|saludo|spock|vulcano
🖤	corazón negro	corazón|negro
🖥️	ordenador de sobremesa	ordenador|ordenador de sobremesa|sobremesa
🖨️	impresora	impresora|ordenador
🖱️	ratón de ordenador	ordenador|ratón|ratón de ordenador
🖲️	bola de desplazamiento	bola de desplazamiento|ordenador|trackball
🖼️	cuadro enmarcado	cuadro enmarcado|marco|museo
🗂️	separador de fichas	fichas|fichero|separador|separador de fichas
🗃️	archivador de tarjetas	archivador|archivador de tarjetas|archivo|caja
🗄️	archivador	archivador|archivos|oficina|organizador
🗑️	papelera	basura|cubo|papelera
🗒️	bloc de notas de espiral	bloc|bloc de notas de espiral|cuaderno|espiral|notas
🗓️	calendario de espiral	calendario|calendario de espiral|espiral
🗜️	tornillo de banco	herramienta|tornillo|tornillo de banco
🗝️	llave antigua	antigua|llave
🗞️	periódico enrollado	noticias|papel|periódico|periódico enrollado
🗡️	puñal	arma|cuchillo|daga|puñal
🗣️	cabeza parlante	cabeza|cabeza parlante|cara|hablar|silueta
🗨️	bocadillo de diálogo por la izquierda	bocadillo|bocadillo de diálogo por la izquierda|burbuja|conversación|diálogo
🗯️	bocadillo de enfado por la derecha	bocadillo|bocadillo de enfado por la derecha|cabreo|enfado|rabia
🗳️	urna con papeleta	papeleta|urna|urna con papeleta|voto
🗺️	mapa mundial	mapa|mapa mundial|mapamundi|mundo
🗻	monte Fuji	Fuji|montaña|monte|naturaleza
🗼	Torre de Tokio	Tokio|torre|Torre de Tokio
🗽	Estatua de la Libertad	estatua|Estatua de la Libertad|libertad|nueva|ny|nyc|york
🗾	mapa de Japón	Japón|mapa
🗿	estatua moái	estatua|moái|Pascua
😀	cara sonriendo	cara|cara sonriendo|divertido|feliz|sonrisa
😁	cara radiante con ojos sonrientes	cara|cara radiante con ojos sonrientes|ojo|risa|sonrisa
😂	cara llorando de risa	cara|cara llorando de risa|felicidad|lágrima|risa
😃	cara sonriendo con ojos grandes	cara|cara sonriendo con ojos grandes|divertido|risa|sonriendo
😄	cara sonriendo con ojos sonrientes	abierta|cara|cara sonriendo con ojos sonrientes|ojo|sonrisa
😅	cara sonriendo con sudor frío	cara|cara sonriendo con sudor frío|frío|risa|sudor
😆	cara sonriendo con los ojos cerrados	abierta|boca|cara|cara sonriendo con los ojos cerrados|risa
😇	cara sonriendo con aureola	ángel|cara|cara sonriendo con aureola|halo|sonrisa
😈	cara sonriendo con cuernos	cara|cara sonriendo con cuernos|cuernos|demonio|sonrisa
😉	cara guiñando el ojo	cara|cara guiñando el ojo|guiño
😊	cara feliz con ojos sonrientes	cara|cara feliz con ojos sonrientes|ojo|rubor|sonrisa
😋	cara saboreando comida	cara|cara saboreando comida|delicioso|hambre|rico
😌	cara de alivio	aliviado|cara|cara de alivio
😍	cara sonriendo con ojos de corazón	amor|cara|cara sonriendo con ojos de corazón|corazón|sonrisa
😎	cara sonriendo con gafas de sol	cara|cara sonriendo con gafas de sol|gafas|guay|sol
😏	cara sonriendo con superioridad	cara|cara sonriendo con superioridad|listillo|superioridad
😐	cara neutral	cara|inexpresivo|neutral
😑	cara sin expresión	cara|cara sin expresión|inexpresión|inexpresiva|inexpresivo
😒	cara de desaprobación	cara|cara de desaprobación|insatisfacción|rechazo
😓	cara con sudor frío	cara|cara con sudor frío|frío|sudor
😔	cara desanimada	alicaído|cara|cara desanimada|desanimado|pensativo
😕	cara de confusión	cara|cara de confusión|confuso
😖	cara de frustración	cara|cara de frustración|frustrado
😗	cara besando	beso|cara|cara besando
😘	cara lanzando un beso	beso|cara|cara lanzando un beso
😙	cara besando con ojos sonrientes	beso|cara|cara besando con ojos sonrientes|ojo|sonrisa
😚	cara besando con los ojos cerrados	beso|cara|cara besando con los ojos cerrados|cerrado|ojo
😛	cara sacando la lengua	cara|cara sacando la lengua|lengua
😜	cara sacando la lengua y guiñando un ojo	cara|cara sacando la lengua y guiñando un ojo|guiño|lengua|ojo
😝	cara con ojos cerrados y lengua fuera	cara|cara con ojos cerrados y lengua fuera|lengua|ojo|sabor
😞	cara decepcionada	cara|cara decepcionada|decepción|decepcionado
😟	cara preocupada	cara|cara preocupada|preocupación|preocupado
😠	cara enfadada	cara|cara enfadada|enfadado|histérico
😡	cara cabreada	cabreo|cara|cara cabreada|enfadado|furia
😢	cara llorando	cara|cara llorando|lágrima|llorar|triste
😣	cara desesperada	cara|cara desesperada|desesperación|frustración
😤	cara resoplando	cabreo|cara|cara resoplando|enfado
😥	cara triste pero aliviada	aliviado|cara|cara triste pero aliviada|decepcionado|menos mal
😦	cara con el ceño fruncido y la boca abierta	boca abierta|cara|cara con el ceño fruncido y la boca abierta|ceño fruncido con boca abierta
😧	cara angustiada	angustia|angustiado|cara|cara angustiada
😨	cara asustada	asustado|cara|cara asustada|miedo|miedoso
😩	cara agotada	agotado|cansado|cara|cara agotada
😪	cara de sueño	cara|cara de sueño|dormir|sueño
😫	cara cansada	cansado|cara|cara cansada
😬	cara haciendo una mueca	cara|cara haciendo una mueca|mueca
😭	cara llorando fuerte	cara|cara llorando fuerte|lágrima|llorar|triste
😮	cara con la boca abierta	boca|cara|cara con la boca abierta
😮‍💨	cara exhalando	alivio|bocanada|cara exhalando|exhalar|jadear|resoplido|silbar
😯	cara estupefacta	alucinado|cara|cara estupefacta|estupefacto|sorprendido
😰	cara con ansiedad y sudor	ansiedad|cara|cara con ansiedad y sudor|frío|sudor
😱	cara gritando de miedo	asustado|cara|cara gritando de miedo|miedo|pánico
😲	cara asombrada	alucinado|asombrado|cara|cara asombrada|pasmado
😳	cara sonrojada	cara|cara sonrojada|colorado|sonrojado
😴	cara durmiendo	cara|cara durmiendo|dormido|sueño|zzz
😵	cara mareada	cara|cara mareada|mareo
😵‍💫	cara con ojos en espiral	cara con ojos en espiral|espiral|hipnotizado|indispuesto|mareado|mareo|problema
😶	cara sin boca	boca|callado|cara|cara sin boca|silencio
😶‍🌫️	cara entre las nubes	ausente|cabeza en las nubes|cara en la niebla|cara entre las nubes|en las nubes
😷	cara con mascarilla médica	cara|cara con mascarilla médica|enfermo|malo|máscara
😸	gato sonriendo con ojos sonrientes	cara|gato|gato sonriendo con ojos sonrientes|ojos|sonriente|sonrisa
😹	gato llorando de risa	cara|gato|gato llorando de risa|lágrima|risa
😺	gato sonriendo	cara|feliz|gato alegre|gato feliz|gato sonriendo|sonrisa
😻	gato sonriendo con ojos de corazón	cara|corazón|enamorado|gato|gato sonriendo con ojos de corazón
😼	gato haciendo una mueca	cara|gato|gato haciendo una mueca|irónico|sonrisa
😽	gato besando	beso|cara|cariñoso|gato|gato besando
😾	gato enfadado	cara|enfadado|gato
😿	gato llorando	cara|gato|gato llorando|lágrima|pena|triste
🙀	gato asustado	cara|gato|gato asustado|pánico|preocupación|sorpresa
🙁	cara con el ceño ligeramente fruncido	cara|cara con el ceño ligeramente fruncido|ceño|fruncido
🙂	cara sonriendo ligeramente	cara|cara sonriendo ligeramente|sonrisa
🙂‍↔️	cabeza negando	cabeza moviéndose horizontalmente|cabeza negando|negar|no
🙂‍↕️	cabeza asintiendo	asentir|cabeza asintiendo|cabeza moviéndose verticalmente|sí
🙃	cara al revés	cara|cara al revés|revés
🙄	cara con ojos en blanco	cara|cara con ojos en blanco|frustración|ojos|vueltos
🙅	persona haciendo el gesto de "no"	gesto|mano|no|persona haciendo el gesto de "no"|prohibido
🙅‍♀️	mujer haciendo el gesto de "no"	gesto|mano|mujer|mujer haciendo el gesto de "no"|prohibido
🙅‍♂️	hombre haciendo el gesto de "no"	gesto|hombre|hombre haciendo el gesto de "no"|mano|prohibido
🙆	persona haciendo el gesto de "de acuerdo"	gesto|mano|OK|persona haciendo el gesto de "de acuerdo"|vale
🙆‍♀️	mujer haciendo el gesto de "de acuerdo"	gesto|mano|mujer haciendo el gesto de "de acuerdo"|OK|vale
🙆‍♂️	hombre haciendo el gesto de "de acuerdo"	gesto|hombre haciendo el gesto de "de acuerdo"|mano|OK|vale
🙇	persona haciendo una reverencia	disculpa|gesto|perdón|persona haciendo una reverencia|reverencia
🙇‍♀️	mujer haciendo una reverencia	disculpa|gesto|mujer haciendo una reverencia|perdón|reverencia
🙇‍♂️	hombre haciendo una reverencia	disculpa|gesto|hombre haciendo una reverencia|perdón|reverencia
🙈	mono con los ojos tapados	cara|mal|mono|mono con los ojos tapados|prohibido
🙉	mono con los oídos tapados	cara|mal|mono|mono con los oídos tapados|prohibido
🙊	mono con la boca tapada	cara|mal|mono|mono con la boca tapada|prohibido
🙋	persona con la mano levantada	feliz|gesto|levantar|mano|persona con la mano levantada
🙋‍♀️	mujer con la mano levantada	gesto|levantar|mano|mujer|mujer con la mano levantada
🙋‍♂️	hombre con la mano levantada	gesto|hombre|hombre con la mano levantada|levantar|mano
🙌	manos levantadas celebrando	celebración|gesto|hurra|mano|manos levantadas celebrando
🙍	persona frunciendo el ceño	ceño|fruncido|gesto|persona|persona frunciendo el ceño
🙍‍♀️	mujer frunciendo el ceño	ceño|fruncido|gesto|mujer|mujer frunciendo el ceño
🙍‍♂️	hombre frunciendo el ceño	ceño|fruncido|gesto|hombre|hombre frunciendo el ceño
🙎	persona haciendo pucheros	gesto|persona|persona haciendo pucheros|pucheros
🙎‍♀️	mujer haciendo pucheros	gesto|mujer|mujer haciendo pucheros|pucheros
🙎‍♂️	hombre haciendo pucheros	gesto|hombre|hombre haciendo pucheros|pucheros
🙏	manos en oración	gracias|mano|manos en oración|oración|orar|por favor|rezar
🚀	cohete	cohete|espacio|vehículo
🚁	helicóptero	aspas|helicóptero|rotores|vehículo|volar
🚂	locomotora de vapor	locomotora|locomotora de vapor|tren|vehículo
🚃	vagón	ferrocarril|tranvía|tren eléctrico|vagón|vehículo
🚄	tren de alta velocidad	AVE|ferrocarril|rápido|tren|tren de alta velocidad|velocidad
🚅	tren bala	bala|shinkansen|tren|vehículo|velocidad
🚆	tren	ferrocarril|tren|vehículo
🚇	metro	metro|subterráneo|suburbano|transporte
🚈	tren ligero	ferrocarril|transporte|tren|tren ligero
🚉	estación de tren	estación|estación de tren|tren
🚊	tranvía	transporte|tranvía|trolebús
🚋	vagón de tranvía	tranvía|vagón|vagón de tranvía|vehículo
🚌	autobús	autobús|bus|transporte
🚍	autobús próximo	autobús|próximo|vehículo
🚎	trolebús	transporte|tranvía|trolebús
🚏	parada de autobús	autobús|parada|parada de autobús
🚐	minibús	autobús|bus|minibús|transporte
🚑	ambulancia	ambulancia|asistencia médica|transporte|vehículo
🚒	coche de bomberos	camión|camión de bomberos|coche de bomberos|fuego|vehículo
🚓	coche de policía	coche de policía|coche patrulla|policía|vehículo
🚔	coche de policía próximo	coche de policía próximo|coche patrulla|policía|próximo|vehículo
🚕	taxi	coche|taxi|vehículo
🚖	taxi próximo	taxi|taxi próximo|vehículo
🚗	coche	automóvil|coche|vehículo
🚘	coche próximo	automóvil|coche|próximo|vehículo
🚙	vehículo deportivo utilitario	camping|caravana|furgoneta|vacaciones|vehículo|vehículo deportivo utilitario
🚚	camión de reparto	camión de reparto|mercancías|reparto|transporte|vehículo
🚛	camión articulado	camión|camión articulado|tráiler|vehículo
🚜	tractor	agricultura|tractor|vehículo
🚝	monorraíl	ferrocarril|monocarril|monorraíl|transporte|tren
🚞	ferrocarril de montaña	ferrocarril|ferrocarril de montaña|montaña|vehículo
🚟	ferrocarril de suspensión	ferrocarril|ferrocarril de suspensión|suspensión|vehículo
🚠	teleférico de montaña	cable|funicular|montaña|teleférico|teleférico de montaña|vehículo
🚡	teleférico	aéreo|teleférico|tranvía|vehículo
🚢	barco	barco|vehículo
🚣	persona remando en un bote	barca|bote|persona remando en un bote|remo
🚣‍♀️	mujer remando en un bote	barca|bote|mujer|mujer remando en un bote|remo
🚣‍♂️	hombre remando en un bote	barca|bote|hombre|hombre remando en un bote|remo
🚤	lancha motora	barco|lancha motora|vehículo
🚥	semáforo horizontal	luz|semáforo horizontal|señales de tráfico|tráfico
🚦	semáforo	luz|semáforo|semáforo vertical|señales de tráfico|tráfico
🚧	obras	construcción|obras|señal|señal de obras
🚨	luces de policía	coche de policía|luces|luces de policía|policía
🚩	bandera triangular	bandera|bandera de localización triangular|bandera informativa de localización|bandera triangular|localización
🚪	puerta	puerta
🚫	prohibido	entrar|no|pasar|prohibición|prohibido
🚬	cigarrillo	cigarrillo|cigarro|fumar
🚭	prohibido fumar	fumar|no|prohibido|señal
🚮	señal de usar papelera	basura|papelera|señal|señal de usar papelera|tirar la basura en la papelera
🚯	prohibido tirar basura	basura|prohibido|prohibido tirar basura|señal|señal de no tirar basura
🚰	agua potable	agua|potable
🚱	agua no potable	agua|agua no potable|no potable
🚲	bicicleta	bici|bicicleta|vehículo
🚳	bicicletas prohibidas	bicicleta|bicicletas prohibidas|prohibido|vehículo
🚴	persona en bicicleta	bicicleta|ciclismo|ciclista|persona en bicicleta
🚴‍♀️	mujer en bicicleta	bicicleta|ciclismo|ciclista|mujer|mujer en bicicleta
🚴‍♂️	hombre en bicicleta	bicicleta|ciclismo|ciclista|hombre|hombre en bicicleta
🚵	persona en bicicleta de montaña	bicicleta|ciclista|montaña|mountain bike|persona en bicicleta de montaña
🚵‍♀️	mujer en bicicleta de montaña	bicicleta|ciclista|montaña|mountain bike|mujer en bicicleta de montaña
🚵‍♂️	hombre en bicicleta de montaña	bicicleta|ciclista|hombre en bicicleta de montaña|montaña|mountain bike
🚶	persona caminando	andar|caminando|caminar|persona caminando
🚶‍♀️	mujer caminando	andar|caminata|marcha|mujer|mujer caminando
🚶‍♂️	hombre caminando	andar|caminata|hombre|hombre caminando|marcha
🚷	prohibido el paso de peatones	peatón|peatones|prohibido|prohibido el paso de peatones|señal
🚸	niños cruzando	cruzando|niños|señal
🚹	aseo para hombres	aseo de caballeros|aseo para hombres|baño|señal|señal con un hombre|servicio
🚺	señal de aseo para mujeres	aseo de señoras|baño|señal|señal con una mujer|señal de aseo para mujeres|servicio
🚻	señal de aseos	aseos|señal de aseos|servicios|wc
🚼	señal de bebé	bebé|cambiar|lactancia|señal de bebé
🚽	inodoro	baño|inodoro|váter|wc
🚾	aseos	aseos|lavabo|servicios|WC
🚿	ducha	agua|baño|ducha
🛀	persona en la bañera	bañera|baño|persona|persona en la bañera
🛁	bañera	bañera|baño
🛂	control de pasaportes	control|control de pasaportes|pasaportes
🛃	aduana	aduana
🛄	recogida de equipajes	equipaje|maleta|recogida de equipajes
🛅	consigna	consigna|depósito|equipaje|servicio de equipaje en depósito
🛋️	sofá y lámpara	hotel|lámpara|sofá|sofá y lámpara
🛌	persona en la cama	dormir|hotel|persona en la cama
🛍️	bolsas de compras	bolsa|bolsas de compras|compra
🛎️	timbre de hotel	botones|campanilla|hotel|timbre|timbre de hotel
🛏️	cama	cama|dormir|hotel
🛐	lugar de culto	culto|lugar de culto|religión
🛑	señal de stop	octágono|parada|señal|señal de stop|stop
🛒	carrito de la compra	carrito|carrito de la compra|carro|compra|supermercado
🛕	templo hindú	hindú|templo
🛖	cabaña	cabaña|casa|yurta
🛗	ascensor	accesibilidad|ascensor|elevador|montacargas
🛘	desprendimiento	alud|avalancha|desastre|montaña|peligro|rocas|terremoto
🛜	wifi	conexión|inalámbrica|internet|red|wi-fi|wifi
🛝	tobogán	jugar|parque|parque de atracciones|tobogán
🛞	rueda	círculo|girar|neumático|rodar|rueda
🛟	salvavidas	flotador|rescate|salvavidas|seguridad|socorrista
🛠️	martillo y llave inglesa	herramienta|llave inglesa|martillo|martillo y llave inglesa
🛡️	escudo	defensa|escudo
🛢️	barril de petróleo	barril|barril de petróleo|bidón|petróleo
🛣️	autopista	autopista|carretera
🛤️	vía de tren	tren|vía|vía de tren
🛥️	barco a motor	barco|barco a motor|motor|vehículo
🛩️	avioneta	avión|avioneta
🛫	avión despegando	aeroplano|avión|avión despegando|salida
🛬	avión aterrizando	aeroplano|avión|avión aterrizando|llegada
🛰️	satélite	espacio|satélite|vehículo
🛳️	barco de pasajeros	barco|barco de pasajeros|pasajeros|vehículo
🛴	patinete	patinete
🛵	scooter	escúter|moto|scooter
🛶	canoa	barca|barco|canoa|piragua
🛷	trineo	trineo
🛸	platillo volante	ovni|platillo volante
🛹	monopatín	monopatín|skateboard|tabla
🛺	mototaxi	mototaxi|rickshaw|tuk tuk
🛻	camioneta	camioneta|pickup|ranchera
🛼	patines	patín|patín de 4 ruedas|patín de cuatro ruedas|patines
🟠	círculo naranja	círculo|naranja
🟡	círculo amarillo	amarillo|círculo
🟢	círculo verde	círculo|verde
🟣	círculo morado	círculo|lila|morado|púrpura
🟤	círculo marrón	círculo|marrón
🟥	cuadrado rojo	cuadrado|rojo
🟦	cuadrado azul	azul|cuadrado
🟧	cuadrado naranja	cuadrado|naranja
🟨	cuadrado amarillo	amarillo|cuadrado
🟩	cuadrado verde	cuadrado|verde
🟪	cuadrado morado	cuadrado|lila|morado|púrpura
🟫	cuadrado marrón	cuadrado|marrón
🟰	signo igual grueso	equivalencia|igualdad|matemáticas|mates|signo igual grueso
🤌	dedos juntos apuntando hacia arriba	dedos|dedos juntos apuntando hacia arriba|gesto|italia|italiano|mano|sarcasmo
🤍	corazón blanco	blanco|corazón|emoción
🤎	corazón marrón	corazón|emoción|marrón
🤏	mano pellizcando	mano pellizcando|pellizco|poco|poquito
🤐	cara con la boca cerrada con cremallera	boca|cara|cara con la boca cerrada con cremallera|cremallera
🤑	cara con lengua de dinero	boca|cara|cara con lengua de dinero|dinero
🤒	cara con termómetro	cara|cara con termómetro|enfermo|malo|termómetro
🤓	cara de empollón	cara|cara de empollón|empollón|friki|friqui
🤔	cara pensativa	cara|cara pensativa|duda|pensando
🤕	cara con la cabeza vendada	cara|cara con la cabeza vendada|dolor|herida|venda
🤖	robot	cara|monstruo|robot
🤗	cara con manos abrazando	abrazo|cara|cara con manos abrazando|sonrisa
🤘	mano haciendo el signo de cuernos	cuernos|dedo|mano|mano haciendo el signo de cuernos|rock
🤙	mano haciendo el gesto de llamar	llamar|mano|mano haciendo el gesto de llamar|meñique|pulgar
🤚	dorso de la mano	dorso|dorso de la mano|levantado|mano
🤛	puño hacia la izquierda	izquierda|puño|puño hacia la izquierda
🤜	puño hacia la derecha	derecha|puño|puño hacia la derecha
🤝	apretón de manos	acuerdo|apretón|apretón de manos|manos
🤞	dedos cruzados	cruzar|dedos|dedos cruzados|mano|suerte
🤟	gesto de te quiero	gesto de te quiero|mano|quiero
🤠	cara con sombrero de vaquero	cara|cara con sombrero de vaquero|sombrero|vaquera|vaquero
🤡	cara de payaso	cara|cara de payaso|payaso
🤢	cara de náuseas	cara|cara de náuseas|náuseas|vomitar
🤣	cara revolviéndose de la risa	cara|cara revolviéndose de la risa|carcajada|ojos cerrados|risa
🤤	cara babeando	baba|babeando|cara
🤥	cara de mentiroso	cara|cara de mentiroso|mentiroso|nariz|pinocho
🤦	persona con la mano en la frente	facepalm|frente|incredulidad|mano|persona con la mano en la frente
🤦‍♀️	mujer con la mano en la frente	facepalm|frente|incredulidad|mano|mujer con la mano en la frente
🤦‍♂️	hombre con la mano en la frente	facepalm|frente|hombre con la mano en la frente|incredulidad|mano
🤧	cara estornudando	cara|cara estornudando|estornudar|estornudo|pañuelo
🤨	cara con ceja alzada	cara con ceja alzada|desconfiado|escéptico
🤩	cara sonriendo con estrellas	cara|cara sonriendo con estrellas|estrellas|sonrisa
🤪	cara de loco	cara de loco|grande|ojo|pequeño
🤫	cara pidiendo silencio	callado|cara pidiendo silencio|silencio
🤬	cara con símbolos en la boca	cara con símbolos en la boca|maldecir|palabrota|símbolo
🤭	cara con mano sobre la boca	cara con mano sobre la boca|ostras|uy|vaya
🤮	cara vomitando	cara vomitando|enfermo|malo|vomitar
🤯	cabeza explotando	cabeza|cabeza explotando|explosión
🤰	mujer embarazada	embarazada|mujer
🤱	lactancia materna	amamantar|bebé|dar pecho|lactancia materna|pecho
🤲	palmas hacia arriba juntas	oración|palmas hacia arriba juntas
🤳	selfi	autofoto|cámara|selfi|selfie|teléfono
🤴	príncipe	corona|príncipe
🤵	persona con esmoquin	esmoquin|novio|persona|persona con esmoquin
🤵‍♀️	mujer con esmoquin	esmoquin|mujer|mujer con esmoquin
🤵‍♂️	hombre con esmoquin	esmoquin|hombre|hombre con esmoquin
🤶	Mamá Noel	celebración|claus|cuento|fantasía|feliz|fiestas|madre|Mamá Noel|Navidad|santa
🤷	persona encogida de hombros	duda|encogerse|hombros|indiferencia|persona encogida de hombros
🤷‍♀️	mujer encogida de hombros	duda|encogerse|hombros|indiferencia|mujer encogida de hombros
🤷‍♂️	hombre encogido de hombros	duda|encogerse|hombre encogido de hombros|hombros|indiferencia
🤸	persona haciendo voltereta lateral	acrobacia|gimnasia|persona haciendo voltereta lateral|pirueta|rueda|voltereta
🤸‍♀️	mujer dando una voltereta lateral	deporte|gimnasia|mujer|mujer dando una voltereta lateral|rueda|voltereta
🤸‍♂️	hombre dando una voltereta lateral	deporte|gimnasia|hombre|hombre dando una voltereta lateral|rueda|voltereta
🤹	persona haciendo malabares	equilibrio|malabares|malabarismo|malabarista|persona haciendo malabares
🤹‍♀️	mujer haciendo malabares	malabares|malabarismo|malabarista|mujer|mujer haciendo malabares
🤹‍♂️	hombre haciendo malabares	hombre|hombre haciendo malabares|malabares|malabarismo|malabarista
🤺	persona haciendo esgrima	esgrima|esgrimista|espada|persona haciendo esgrima
🤼	personas luchando	lucha|luchador|personas luchando
🤼‍♀️	mujeres luchando	deporte|lucha|luchadora|mujer|mujeres luchando
🤼‍♂️	hombres luchando	deporte|hombre|hombres luchando|lucha|luchador
🤽	persona jugando al waterpolo	persona jugando al waterpolo|waterpolista|waterpolo
🤽‍♀️	mujer jugando al waterpolo	agua|deporte|mujer jugando al waterpolo|waterpolista|waterpolo
🤽‍♂️	hombre jugando al waterpolo	agua|deporte|hombre jugando al waterpolo|waterpolista|waterpolo
🤾	persona jugando al balonmano	balonmanista|balonmano|persona jugando al balonmano
🤾‍♀️	mujer jugando al balonmano	balonmanista|balonmano|deporte|mujer|mujer jugando al balonmano
🤾‍♂️	hombre jugando al balonmano	balonmanista|balonmano|deporte|hombre|hombre jugando al balonmano
🤿	máscara de buceo	bucear|buzo|esnórquel|máscara|máscara de buceo|tubo
🥀	flor marchita	flor|marchita|marchitada|marchitarse
🥁	tambor	baquetas|música|tambor
🥂	copas brindando	bebida|brindar|brindis|celebración|copa|copas brindando
🥃	vaso de whisky	chupito|copa|licor|vaso|vaso de whisky|whisky
🥄	cuchara	cubiertos|cuchara|cucharilla
🥅	portería	deporte|portería|red
🥇	medalla de oro	medalla|medalla de oro|oro|primero
🥈	medalla de plata	medalla|medalla de plata|plata|segundo
🥉	medalla de bronce	bronce|medalla|medalla de bronce|tercero
🥊	guante de boxeo	boxeo|deporte|guante|guante de boxeo
🥋	uniforme de artes marciales	artes marciales|judo|kárate|taekwondo|uniforme de artes marciales
🥌	piedra de curling	juego|piedra de curling|roca
🥍	lacrosse	bola|lacrosse|palo|pelota|raqueta
🥎	pelota de softball	bola|pelota|pelota de softball|softball
🥏	disco volador	disco|disco volador|frisbee
🥐	cruasán	bollo|comida|croissant|cruasán|francés
🥑	aguacate	aguacate|comida|fruta
🥒	pepino	comida|pepinillo|pepino|verdura
🥓	beicon	bacon|beicon|carne|comida|panceta
🥔	patata	comida|papa|patata|verdura
🥕	zanahoria	comida|verdura|zanahoria
🥖	baguete	baguete|baguette|barra|comida|francés|pan
🥗	ensalada	bol|comida|ensalada|verde
🥘	paella	arroz|comida|paella
🥙	pan relleno	comida|durum|falafel|kebab|pan de pita|pan relleno
🥚	huevo	comida|huevo
🥛	vaso de leche	bebida|leche|vaso|vaso de leche
🥜	cacahuetes	cacahuete|cacahuetes|comida|fruto seco|verdura
🥝	kiwi	comida|fruta|kiwi
🥞	tortitas	comida|dulce|pancakes|postre|tortita|tortitas
🥟	dumpling	comida|dumpling|gyōza|jiaozi|masa
🥠	galleta de la fortuna	adivinación|galleta de la fortuna|profecía|superstición
🥡	caja para llevar	caja para llevar|recipiente para llevar|restaurante
🥢	palillos	cubiertos|hashi|palillos
🥣	cuenco con cuchara	cereal|cuenco con cuchara|desayuno
🥤	vaso con pajita	refresco|vaso con pajita|zumo
🥥	coco	coco|palmera|piña colada
🥦	brócoli	brócoli|col|repollo
🥧	pastel	masa|pastel|relleno
🥨	bretzel	bretzel|galleta salada|pretzel
🥩	corte de carne	carne|chuleta|corte de carne|filete
🥪	sándwich	bocadillo|bocata|emparedado|sándwich
🥫	comida enlatada	comida enlatada|conserva|lata
🥬	verdura de hoja verde	bok choy|col|kale|lechuga|pak choi|verdura de hoja verde
🥭	mango	fruta|mango|tropical
🥮	pastel de luna	festival|luna|otoño|pastel de luna|yuebing
🥯	bagel	bagel|bocadillo|pan|panadería
🥰	cara sonriendo con corazones	adorar|amor|cara sonriendo con corazones|corazones|enamorada|enamorado
🥱	cara de bostezo	aburrido|bostezo|cansado|cara de bostezo|dormido|sueño
🥲	cara sonriente con lágrima	agradecido|aliviado|cara sonriente con lágrima|emocionado|lágrima|orgulloso|sonrisa
🥳	cara de fiesta	capirote|cara de fiesta|celebración|fiesta|gorro|matasuegras
🥴	cara de grogui	atontado|cara de grogui|entonado|grogui|intoxicado|mareado
🥵	cara con calor	calor|cara con calor|cara roja|fiebre|golpe de calor|sudor
🥶	cara con frío	cara con frío|cara congelada|congelado|frío|helado
🥷	ninja	furtivo|guerrero|luchador|ninja|oculto|sigilo
🥸	cara disfrazada	cara disfrazada|careta|disfraz|disimulo|gafas|incógnito|nariz
🥹	cara aguantándose las lágrimas	cara aguantándose las lágrimas|emoción|emocionado|llorar|orgulloso|resistir|triste
🥺	cara suplicante	cara suplicante|implorar|ojos adorables|piedad|por favor
🥻	sari	prenda|ropa|sari|vestido
🥼	bata de laboratorio	bata de laboratorio|científico|doctor|experimento|médico
🥽	gafas de protección	gafas|gafas de protección|nadar|protección ocular|soldar
🥾	bota de senderismo	bota|bota de senderismo|camping|mochilero|senderismo
🥿	bailarina	bailarina|calzado|zapato
🦀	cangrejo	animal|cáncer|cangrejo|zodiaco
🦁	león	cara|leo|león|zodiaco
🦂	escorpión	escorpio|escorpión|zodiaco
🦃	pavo	ave|pavo
🦄	unicornio	cara|unicornio
🦅	águila	águila|ave
🦆	pato	ave|pato
🦇	murciélago	murciélago|vampiro
🦈	tiburón	pez|tiburón
🦉	búho	ave|búho|lechuza|pájaro
🦊	zorro	cara|zorro
🦋	mariposa	bonito|insecto|mariposa
🦌	ciervo	bambi|cervatillo|ciervo
🦍	gorila	gorila|primate|simio
🦎	lagarto	lagartija|lagarto|reptil
🦏	rinoceronte	paquidermo|rinoceronte
🦐	gamba	camarón|comida|gamba|langostino|marisco
🦑	calamar	calamar|comida|molusco
🦒	jirafa	jirafa|manchas
🦓	cebra	cebra|raya
🦔	erizo	erizo|espinas|púas
🦕	saurópodo	braquiosaurio|brontosaurio|diplodocus|saurópodo
🦖	t-rex	t-rex|tiranosaurio|tiranosaurio rex
🦗	grillo	grillo|saltamontes
🦘	canguro	canguro|marsupial|saltar|salto
🦙	llama	alpaca|guanaco|lana|llama|vicuña
🦚	pavo real	ave|orgulloso|pavo|pavo real|plumas
🦛	hipopótamo	hipopótamo|paquidermo
🦜	loro	ave|hablar|loro|papagayo|pirata
🦝	mapache	astuto|curioso|ladino|mapache|maquillaje|ojeras
🦞	bogavante	bogavante|langosta|marisco|pinzas
🦟	mosquito	fiebre|insecto|malaria|mosquito|virus
